user_id,item_id,artist_id,timestamp
18049,29199,198,1388580567
17840,28803,15733,1388671875
15173,21413,12574,1388699926
18085,28801,7636,1388803429
12263,28536,10986,1388897320
18112,16903,6400,1388941690
18116,27627,15527,1388962096
17792,25905,15527,1389038499
17792,26240,6961,1389038499
17792,24113,3305,1389038499
16875,30001,16953,1389041409
18047,16794,10209,1389043316
18138,28503,16357,1389100636
18144,23852,14006,1389145392
18150,28574,16845,1389193526
18150,27296,8327,1389193526
15046,26390,6567,1389221945
18168,25474,12932,1389304649
15046,15153,6567,1389355882
17408,20473,4298,1389392932
17408,30103,10986,1389392932
15566,29993,13607,1389448987
18186,29071,14227,1389456049
18116,29707,13606,1389554547
18116,20759,7303,1389554547
16954,18125,10710,1389613401
18218,27436,16357,1389660587
18224,26249,8120,1389707517
14749,22061,10159,1389787635
17855,28067,16632,1389877994
18254,28537,10986,1389887094
18186,29382,16953,1389895470
18260,10450,3436,1389921126
18263,25991,4669,1389946415
18263,25992,4669,1389946415
5346,27062,6085,1389953760
6133,13040,7304,1389955222
17691,17600,3312,1389977847
18223,9188,5234,1389978440
18223,28883,10459,1389978440
16234,26132,10041,1389980505
17408,28402,2716,1389984947
17408,14711,5175,1389984947
17408,27598,8603,1389984947
17408,27982,8154,1389984947
15666,30266,13760,1389994197
18274,29634,10986,1389997073
18287,27238,15729,1390050522
18291,23806,4959,1390058853
18295,29957,15931,1390086886
18304,27797,8998,1390117723
18068,30144,3436,1390125260
15428,27485,16327,1390131187
18308,28919,10664,1390134151
18314,27147,8027,1390149381
18319,29789,15502,1390160090
18320,22836,4738,1390160978
18327,30089,17146,1390176798
18336,29384,15527,1390231925
18353,28584,8105,1390320762
18353,28007,8154,1390320762
18353,29663,9310,1390320762
18354,28976,2716,1390328680
18377,27733,16357,1390465210
18169,15706,8468,1390466752
13350,29552,17358,1390517528
18399,29764,8361,1390569247
18402,21084,9410,1390579386
11874,17708,8027,1390647204
269,21084,9410,1390674152
18413,26996,16032,1390674418
18414,13769,8578,1390676281
14924,29849,8105,1390729212
16384,23866,4959,1390735697
16384,23676,4959,1390736092
16384,20104,10500,1390736430
16384,29509,10500,1390736625
16384,13689,3240,1390736904
14757,30180,15720,1390738221
10897,28910,8174,1390764282
10897,27781,15864,1390764282
10897,29314,3997,1390764282
10897,30081,7303,1390764282
14580,24424,10563,1390828431
17792,21549,2069,1390900860
17408,24304,14227,1390924799
17408,25323,3663,1390924799
12720,29069,15061,1390926579
18475,24424,10563,1391070609
14580,13251,8327,1391088993
390,25073,3663,1391173463
18484,29391,5549,1391192072
18495,28217,13607,1391254783
3642,26980,2172,1391355601
18512,30227,17517,1391357872
18514,16391,9175,1391358111
18516,28483,8603,1391361915
18518,13280,4738,1391362814
18536,28455,16849,1391440770
18536,26969,9310,1391440770
18536,29788,9310,1391440770
18536,26281,9310,1391440770
18536,30030,9310,1391440770
18536,28466,16849,1391440770
17408,18804,2716,1391456161
16407,25259,10886,1391461125
18465,9412,5365,1391466290
17656,24895,8578,1391507219
11874,17529,8027,1391517681
18556,22227,12858,1391528174
11663,26671,15729,1391530197
11348,30424,14760,1391547895
18565,30330,14334,1391598394
17408,6807,3663,1391618998
18585,24424,10563,1391698257
18112,27940,11193,1391852586
18112,27355,8731,1391852892
16155,28169,15527,1391859725
18623,24488,14227,1391904044
18607,28572,16845,1391946016
18311,29967,4022,1391947801
18116,30274,8603,1391958009
18639,21254,6943,1392066237
18657,26750,15797,1392067569
7630,22850,11157,1392114379
7630,25543,14642,1392114379
18514,23084,6214,1392129276
12332,14213,3240,1392131473
12332,15146,3240,1392131473
12332,10521,3240,1392131473
12332,15147,3240,1392131473
5346,29912,17660,1392150236
17938,30295,15502,1392209214
17938,29319,8127,1392209214
17938,28141,15975,1392209214
18676,11802,5791,1392213911
18680,30494,8154,1392246764
17408,26643,5175,1392282617
14119,27608,14720,1392305370
18697,30480,17660,1392351801
18710,12649,6001,1392480275
18710,10816,6001,1392480275
3985,29424,16040,1392483231
15386,29309,14720,1392487402
18715,16894,8120,1392493714
5346,27334,8058,1392498250
18210,19091,9228,1392562501
18210,24646,11317,1392562501
18210,24642,11317,1392562501
18210,12115,4556,1392562501
18743,29983,2716,1392650707
18676,13682,3240,1392729670
18388,23806,4959,1392734913
18388,28574,16845,1392734913
18753,29914,17660,1392739234
8996,24355,14334,1392755173
18763,22597,4022,1392816234
18763,26846,15729,1392823968
18779,30612,2716,1392902012
18781,29847,8105,1392907776
18795,30348,16898,1392999635
18791,26340,9748,1393005518
18828,29784,2716,1393185434
18837,28543,14760,1393227403
